System_Element;Functional_Unit;Function;Fault_Effect;Severity_S;Failure_Mode;Fault_Root_Cause;Occurrence_Probability_O;Corrective_Measure
SE01_Valve_Assembly_Line-SE02_Cell02-SE03_Station01;FU01_Process_grease_housing_cartridge_bore;F01_Greasing;FE01_Valve_switching_times_not_reached;5;FM01_Grease_incorrectly_dispensed;FC01_Air_inclusions_in_the_grease;3.0;CM01_Change_grease
SE01_Valve_Assembly_Line-SE02_Cell02-SE03_Station01;FU01_Process_grease_housing_cartridge_bore;F01_Greasing;FE02_Increased_forces_pressing_in_cartridges;5;FM01_Grease_incorrectly_dispensed;FC02_Grease_plugs_clogged;4.0;CM02_Clean_grease_plugs
SE01_Valve_Assembly_Line-SE02_Cell02-SE03_Station01;FU01_Process_grease_housing_cartridge_bore;F01_Greasing;FE03_Cartridge_bore_not_completely_greased;7;FM01_Grease_incorrectly_dispensed;FC02_Grease_plugs_clogged;4.0;CM03_Replace_grease_plugs
SE01_Valve_Assembly_Line-SE02_Cell02-SE04_Station02;FU02_Process_press_in_cartridges;F02_Feeding_cartridges;FE04_Internal_leakage;7;FM02_Cartridge_is_damaged;FC03_Position_of_the_cartridge_on_the_pressing_in_plug_imprecise;3.0;CM04_Adjust_orientation_drop_shaft
SE01_Valve_Assembly_Line-SE02_Cell02-SE04_Station02;FU02_Process_press_in_cartridges;F02_Feeding_cartridges;FE05_Control_head_is_pressurized;5;FM02_Cartridge_is_damaged;FC03_Position_of_the_cartridge_on_the_pressing_in_plug_imprecise;3.0;CM05_Correct_backlash_cartridge_feeder
SE01_Valve_Assembly_Line-SE02_Cell02-SE04_Station02;FU02_Process_press_in_cartridges;F02_Feeding_cartridges;FE06_Control_head_not_controlled;9;FM02_Cartridge_is_damaged;FC04_Insufficient_accuracy_of_the_axes;5.0;CM06_Check_and_adjust_axes
SE01_Valve_Assembly_Line-SE02_Cell02-SE04_Station02;FU02_Process_press_in_cartridges;F03_Positioning_cartridges;FE07_Failure_valve_no_switching_of_air;8;FM03_Not_pressed_in_position;FC04_Insufficient_accuracy_of_the_axes;5.0;CM06_Check_and_adjust_axes
SE01_Valve_Assembly_Line-SE02_Cell02-SE04_Station02;FU02_Process_press_in_cartridges;F03_Positioning_cartridges;FE05_Control_head_is_pressurized;5;FM03_Not_pressed_in_position;FC05_Press_in_force_too_low;2.0;CM07_Check_and_adjust_settings
SE01_Valve_Assembly_Line-SE02_Cell02-SE04_Station02;FU02_Process_press_in_cartridges;F03_Positioning_cartridges;FE06_Control_head_not_controlled;9;FM03_Not_pressed_in_position;FC06_Incorrect_orientation_of_the_cartridge;3.0;CM04_Adjust_orientation_drop_shaft
SE01_Valve_Assembly_Line-SE02_Cell02-SE04_Station02;FU02_Process_press_in_cartridges;F03_Positioning_cartridges;FE06_Control_head_not_controlled;9;FM03_Not_pressed_in_position;FC06_Incorrect_orientation_of_the_cartridge;3.0;CM05_Correct_backlash_cartridge_feeder
SE01_Valve_Assembly_Line-SE02_Cell02-SE04_Station02;FU02_Process_press_in_cartridges;F03_Positioning_cartridges;FE07_Failure_valve_no_switching_of_air;8;FM04_Surface_of_cartridge_bore_damaged;FC07_Cartridge_bore_not_completely_greased;6.0;CM08_Check_and_repair_greasing_process
SE01_Valve_Assembly_Line-SE02_Cell02-SE04_Station02;FU02_Process_press_in_cartridges;F03_Positioning_cartridges;FE07_Failure_valve_no_switching_of_air;8;FM04_Surface_of_cartridge_bore_damaged;FC04_Insufficient_accuracy_of_the_axes;5.0;CM06_Check_and_adjust_axes
SE01_Valve_Assembly_Line-SE02_Cell02-SE04_Station02;FU02_Process_press_in_cartridges;F03_Positioning_cartridges;FE07_Failure_valve_no_switching_of_air;8;FM04_Surface_of_cartridge_bore_damaged;FC08_Incorrect_press_settings;3.0;CM07_Check_and_adjust_settings